"Event Name","Start Date","End Date",Country,State,City,Venue,"Region 1","Region 2","Region 3",Contacts,URL,URL2,URL3,Sponsorship,Stakeholders,Type
"Akquinet xxx@redhat.com Day: +9195551212 Cell: +49 (0)173 718 5689",http://de.amiando.com/SWELBTC.html,,,,Middleware,"Customer Event"
"IT FORUM EXPO 2013",2013-11-26,2013-11-27,Brazil,SP,"São Paulo","Transamerica Expo Center",,,,,http://www.itforumexpo.com.br/,,,,,
"Joomla Day México",2013-11-27,2013-11-28,México,"Distrito Federal","Mexico City","Universidad del Valle de México, Campus Coyoacán",LATAM,Mexico,,,http://joomladaymx.com/,,,,"Middleware,Platform","Customer Event"
"Architect Forum JBoss",2013-11-28,2013-11-28,Sweden,,Stockholm,Lundqvist&Lindqvist,EMEA,Nordics,,,,,,,Middleware,"Red Hat Hosted"
"Red Hat Lab: La nueva suite de integración de Red Hat",2013-11-28,2013-11-28,Spain,Madrid,Madrid,"Red Hat office",EMEA,"Iberia ",,,,,,,Middleware,"Red Hat Hosted"
"I/ITSEC 2013",2013-12-02,2013-12-05,USA,Florida,Orlando,,"NORTH AMERICA",,,,http://www.iitsec.org/Pages/default.aspx,,,,"Public Sector,Field Marketing","Industry Event"
"Webinar xxx@redhat.com Day: +919555121206 Cell: +919555121219",http://app.engage.redhat.com/e/es?s=1795&e=302331&elq=48444264faf641e1962d010fda53c80c,,,,Platform,Webinars
"SLED EVENT: Event: Pennsylvania Executive Leadership Forum",2013-12-03,2013-12-04,USA,Pennsylvania,Harrisburg,"Hilton Harrisburg","NORTH AMERICA","Public Sector",,,http://www.govtech.com/events/Pennsylvania-Executive-Leadership-Forum-2013.html,,,,"Field Marketing,Public Sector","Industry Event"
"Gartner AADI U.S.",2013-12-03,2013-12-05,USA,Nevada,"Las Vegas","Caesar's Palace","NORTH AMERICA",West,,,http://www.gartner.com/technology/summits/na/applications/,,,,"Middleware,Cloud","Industry Event"
"AFCEA TechNet Asia-Pacific 2013",2013-12-03,2013-12-05,USA,Hawaii,Honolulu,"Hilton Hawaiian Village ","NORTH AMERICA",,,,http://events.jspargo.com/tnap13/public/MainHall.aspx?ID=43522&sortMenu=101000,,,,"Field Marketing,Public Sector","Industry Event"
"Mid-Atlantic Red Hat User Group",2013-12-04,2013-12-04,USA,Virginia,Fairfax,"Intel Executive Briefing Center","NORTH AMERICA",East,,,,,,,,"Red Hat Hosted"
"Red xxx@redhat.com Day: +91955512122 Cell: +91955512123",http://www.aiia.com.au/events/event_details.asp?id=375857&group=,,,,"Public Sector","Industry Event"
"OpenStack Meetup - Boston, MA",2013-12-04,2013-12-04,,Massachusetts,Boston,,"NORTH AMERICA",East,,,"http://www.meetup.com/Openstack-Boston/ ",,,,OpenStack,"User Groups"
"Gain insight from big data with JBoss data virtualization",2013-12-04,2013-12-04,,,,,,,,,https://vts.inxpo.com/Launch/QReg.htm?ShowKey=17519&AffiliateData=ec,,,,Middleware,Webinars
"Storage Regional Workshops",2013-12-04,2013-12-04,USA,Massachusetts,Boston,"Boston Marriott Copley Square","NORTH AMERICA",East,,,https://mojo.redhat.com/docs/DOC-23682,,,,Storage,"Customer Event"
"RHEL/Standardize-5 Key Components to Improve Costs w/SOE",2013-12-04,2013-12-04,,,,,"NORTH AMERICA",,,,http://event.on24.com/r.htm?e=704101&s=1&k=CC9573135D1DAD85B468E91955512126&partnerref=CL120413-redhat-02,,,,"Field Marketing,Platform",Webinars
"CNN xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",,,,,"Field Marketing","Red Hat Hosted"
"INVITE ONLY: Synnex Secret Sauce Partner Event",2013-12-05,2013-12-05,USA,Louisiana,"New Orleans","Hilton New Orleans Riverside ","NORTH AMERICA",East,,,http://www.cvent.com/events/2013-secret-sauce-road-shows/event-summary-61cd73a8cc4a4d7382c8506f9b5c9976.aspx,,,,Channel,"Red Hat Partner Event"
"RHEL - Deploy on Red Hat Enterprise Linux and save over Windows",2013-12-05,2013-12-05,,,,,"NORTH AMERICA",,,,https://vts.inxpo.com/Launch/QReg.htm?ShowKey=17577,,,,"Platform,Field Marketing",Webinars
"Red xxx@redhat.com Day: +919555121206 Cell: +919555121219",,,,,,"Red Hat Hosted"
"Red Hat Open Day Partner Hosted for Telcel O&M",2013-12-05,2013-12-05,México,"Distrito Federal","Mexico City","Red Hat Office",LATAM,Mexico,,,http://app.engage.redhat.com/e/es?s=1795&e=300831&elq=c763bdd555e7441982d901e452f59890,,,,Platform,"Red Hat Partner Event"
"QuinStreet/Storage - Series #3 - The Key to Data Availability and Disaster Recovery for Today's DC",2013-12-05,2013-12-05,,,,,"NORTH AMERICA",,,,http://f.femowe.com/cgi/r?;n=203;c=1400325;s=15034;x=7936;f=919555121228510;u=j;z=TIMESTAMP,,,,"Field Marketing,Storage",Webinars
"Gartner Data Center US 2013",2013-12-09,2013-12-12,USA,Nevada,"Las Vegas","Venetian Hotel","NORTH AMERICA",West,,,http://www.gartner.com/technology/summits/na/data-center/,https://mojo.redhat.com/docs/DOC-26604,,,"Platform,Virtualization","Industry Event"
"Build and manage private clouds with the future in mind",2013-12-10,2013-12-10,,,,,,,,,https://vts.inxpo.com/Launch/QReg.htm?ShowKey=15994&AffiliateData=ec,,,,Cloud,Webinars
"Red xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",,,,,"Field Marketing,Platform","User Groups"
"Dell World",2013-12-10,2013-12-12,USA,Texas,Austin,,"NORTH AMERICA",West,,,http://dellworld.com/,,,,"Global Partner Marketing","Red Hat Partner Event"
"HP xxx@redhat.com Day: +9195551212 Cell: +49 (0)173 165 7536 ",http://h30614.www3.hp.com/Discover/home,,,,,"Red Hat Partner Event"
"CIO Perspectives Event",2013-12-11,2013-12-11,,California,"Los Angeles",,,,,,https://www.etouches.com/ehome/72003,,,,Cloud,"Customer Event"
"How data grid technology is solving data-related challenges",2013-12-11,2013-12-11,,,,,,,,,,,,,Middleware,Webinars
"Spiceworks - Distributed Storage for OpenStack Cloud Environments",2013-12-11,2013-12-11,,,,,"NORTH AMERICA",,,,http://bit.ly/1fSZ1bR,,,,"Field Marketing,Storage",Webinars
"Migration success stories from VMware to RHEV",2013-12-11,2013-12-11,,,,,,,,,,,,,Virtualization,Webinars
"Red Hat Open Day Partner Hosted for Telcel Facturacion",2013-12-11,2013-12-11,México,"Distrito Federal","Mexico City","Red Hat Office",LATAM,Mexico,,,http://app.engage.redhat.com/e/es?s=1795&e=301815&elq=d2ffb24f5e254a5d9fe1ed656feb6ac7,,,,"Platform,Virtualization","Red Hat Partner Event"
"BrightTalk-OpenStack Storage Solutions: Selecting The Right Solution For Your Environment",2013-12-12,2013-12-12,,,,,"NORTH AMERICA",,,,https://www.brighttalk.com/r/dZ8,,,,"Field Marketing,Storage",Webinars
"Tips & tricks for improving Red Hat Enterprise Linux deployments",2013-12-12,2013-12-12,,,,,,,,,,,,,Cloud,Webinars
"Using Apache Camel connectors in JBoss SOA Platform",2013-12-12,2013-12-12,,,,,,,,,,,,,Middleware,Webinars
"Open xxx@redhat.com Day: +91955512120 Cell: +91955512120",www.opensourceconference.nl,,,,"Channel,Cloud,GSS,Middleware,Openshift,OpenStack,Storage,Virtualization","Red Hat Hosted"
"Federal Cloud Computing Summit",2013-12-17,2013-12-17,USA,"District of Columbia",Washington,"Ronald Reagan Building","NORTH AMERICA","Public Sector",,,http://www.cloudfedsummit.com/,http://www.cloudfedsummit.com/winter2013/agenda/,,,"Cloud,Field Marketing","Industry Event"
"OpenShift Enterprise",2013-12-17,2013-12-17,,,,,,,,,,,,,Cloud,Webinars
"St. Louis, MO Red Hat User Group Holiday Bowling",2013-12-18,2013-12-18,,,,,"NORTH AMERICA",West,,,,,,,"Field Marketing","User Groups"
"Simulating business processes",2013-12-18,2013-12-18,,,,,,,,,,,,,Middleware,Webinars
"NA Channel Learn & Earn: RHEL vs Windows",2013-12-19,2013-12-19,USA,,,,"NORTH AMERICA",,,,https://redhat.webex.com/redhat/onstage/g.php?t=a&d=315377536,,,,"Channel,Platform,Public Sector",Webinars
"Red xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",,,,"Meeting led by Paul Pinkney","Field Marketing,Platform","User Groups"
"AeroGear 2.0 and early access",2014-01-08,2014-01-08,,,,,,,,,,,,,Middleware,Webinars
"NA Partner Conference",2014-01-13,2014-01-15,USA,Arizona,Scottsdale,,"NORTH AMERICA",West,,,,http://www.scottsdaleprincess.com/,,,,"Red Hat Hosted"
"OpenShift on OpenStack",2014-01-14,2014-01-14,,,,,,,,,,,,,Cloud,Webinars
"Partner Kick Off 2014 by Avnet, AT",2014-01-14,2014-01-14,Austria,,Vienna,"Amon´s Gastwirtschaft, Schlachthausgasse 13, Wien",EMEA,D-A-CH,,,,,,,Channel,"Red Hat Partner Event"
"Storage Regional Workshops",2014-01-14,2014-01-14,Canada,Toronto,,"Courtyard Marriott Downtown","NORTH AMERICA",Canada,,,https://mojo.redhat.com/docs/DOC-23682,,,,Storage,"Customer Event"
"Red Hat User Group Meeting - Houston",2014-01-15,2014-01-15,,Texas,Houston,,"NORTH AMERICA",West,,,https://engage.redhat.com/forms/Dallas_RHUG,,,,"Cloud,Middleware,Platform,Field Marketing","User Groups"
"Red xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",,,,"Meeting led by Paul Pinkney","Field Marketing,Platform","User Groups"
"How to develop and deploy PHP apps in the cloud",2014-01-15,2014-01-15,,,,,,,,,,,,,"Cloud,Openshift",Webinars
"BrightTalk Virtual Summit/Storage - Deploy Cost-Effective Scale-Out Backup Solutions",2014-01-16,2014-01-16,,,,,"NORTH AMERICA",,,,https://www.brighttalk.com/r/zmR,,,,"Field Marketing,Storage",Webinars
"Red Hat User Group Meeting - Dallas",2014-01-16,2014-01-16,,,,,"NORTH AMERICA",West,,," https://engage.redhat.com/forms/January_Dallas_RHUG",,,,"Field Marketing","User Groups"
"Messaging using mobile client: STOMP",2014-01-16,2014-01-16,,,,,,,,,,,,,Middleware,Webinars
"Business Breakfast by Kapsch",2014-01-16,2014-01-16,Austria,,Graz,,EMEA,D-A-CH,,,,,,,"Cloud,Middleware,Platform,OpenStack,Openshift,Storage,Virtualization","Red Hat Partner Event"
"OpenStack xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",http://www.meetup.com/Minnesota-OpenStack-Meetup/events/157846622/,,,,OpenStack,"User Groups"
"Red Hat Forum 2014 - Manila",2014-01-21,2014-01-21,Philippines,,Manila,"Makati Shangri-La",APAC,ASEAN,,,https://engage.redhat.com/content/ASEAN_RedHatForum_Event_Manila_Overview,,,"Red Hat Hosted","Cloud,Middleware,Platform,Field Marketing","Red Hat Hosted"
"SWISS ITC Networking Roundtable by Puzzle",2014-01-21,2014-01-21,Switzerland,,,,EMEA,D-A-CH,,,,,,,"Cloud,Middleware,Openshift,OpenStack,Platform,Storage,Virtualization","C-level Event"
"Storage Regional Workshops",2014-01-21,2014-01-21,USA,California,"San Diego","Courtyard San Diego Downtown","NORTH AMERICA",West,,,https://mojo.redhat.com/docs/DOC-23682,,,,Storage,"Customer Event"
"Creating a High-Performance Virt Infastructure",2014-01-21,,,,,,,,,,,,,,,Webinars
"Integrated xxx@redhat.com Day: +919555121206 Cell: +919555121219",http://app.engage.redhat.com/e/es?s=1795&e=314134&elq=bedad58b8a884f8bb4449238b5d153cb,,,,Cloud,Webinars
"InXpo-RHEL/RHEV: Creating a High-Performance Virtualization Infrastructure with RHEV and RHEL",2014-01-22,2014-01-22,,,,,"NORTH AMERICA",,,,TBD,,,,"Platform,Virtualization,Field Marketing",Webinars
"JBoss Integration Workshop",2014-01-22,2014-01-22,,"New Jersey","Jersey City",,"NORTH AMERICA",East,,,https://meeting-reg.com/redhat/hands_on_workshop_nj/,,,,Middleware,"Red Hat Partner Event"
"Red xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",,,,"Meeting led by Paul Pinkney","Field Marketing,Platform","User Groups"
"Red Hat Forum 2014 - Bangkok",2014-01-23,2014-01-23,Thailand,,Bangkok,,APAC,ASEAN,,,,,,,"Cloud,Middleware","Red Hat Hosted"
"OpenStack xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",http://www.meetup.com/OpenStack-Seattle/,,,,OpenStack,"User Groups"
"Getting started with JBoss A_MQ 6.1",2014-01-23,2014-01-23,,,,,,,,,,,,,,Webinars
"Partner Kick Off 2014 by Avnet, CH",2014-01-23,,Switzerland,,Zurich,"Avnet Zurich",EMEA,D-A-CH,,,,,,,Channel,"Red Hat Partner Event"
"Webinar xxx@redhat.com Day: +919555121206 Cell: +919555121219",http://app.engage.redhat.com/e/es?s=1795&e=310103&elq=c95a819916bb43a183363ffaa8e9891a,,,,Middleware,Webinars
"IBM Connect - Lotusphere 2014",2014-01-26,2014-01-30,USA,Florida,Orlando,"Disney Swan and Dolphin Resort","NORTH AMERICA",East,,,http://www-01.ibm.com/software/collaboration/events/connect/,https://mojo.redhat.com/docs/DOC-925066,,,Platform,"Red Hat Partner Event"
"Cisco Live! - EMEA 2014",2014-01-26,2014-01-30,Italy,,Milan,,EMEA,"Italy & Greece & Israel",,,http://www.ciscolive.com/emea/,,,,"Global Partner Marketing","Red Hat Partner Event"
"DistribuTECH xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",http://www.distributech.com/index.html,,,,"Platform,Field Marketing","Industry Event"
"2nd xxx@redhat.com Day: +919555121206 Cell: +919555121219",http://app.engage.redhat.com/e/es?s=1795&e=310523&elq=7f949e37cb374ac2a24a8c73c9646c3d,,,,,"Red Hat Hosted"
"Cisco xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",http://cisco-apps.cisco.com/pcgi-bin/sreg2/register/regdetail.pl?SEMINAR_ID=26269&SEMINAR_TYPE=T&LANGUAGE_ID=E&SESSION_ID=&PAGE_NO=SEMINARLIST&USER_TYPE=&CITY_ID=&STATE_ID=&SOLUTION_ID=ALL&FROM_DATE=&TO_DATE=&KEYWORD=&METHOD=W&,https://mojo.redhat.com/docs/DOC-934281,,,Channel,"Red Hat Partner Event"
"NA Red Hat Forum San Fran",2014-01-29,2014-01-29,,,,,,,,,,,,,,"Red Hat Hosted"
"Insight Cloud Cast 2014",2014-01-29,2014-01-31,USA,Arizona,Scottsdale,,"NORTH AMERICA",West,,,www.cloudcast14.com,,,,"Channel,Cloud","Red Hat Partner Event"
"INVITE ONLY: SHI Corporate Sales Kick-Off",2014-01-30,2014-01-30,USA,Texas,Austin,,"NORTH AMERICA",East,,,,,,,Channel,"Red Hat Partner Event"
"Taste of Training: Understanding Pluggable Authentication Modules",2014-01-30,2014-01-30,,,,,,,,,https://mojo.redhat.com/docs/DOC-28919,,,,,Webinars
"JBoss BPM Suite 6 coming soon",2014-01-30,2014-01-30,,,,,,,,,https://mojo.redhat.com/docs/DOC-931687,,,,,Webinars
"JUDCon 2014: India",2014-01-30,2014-01-31,India,,Bangalore,,APAC,India,,,http://www.jboss.org/events/JUDCon/2014/india,,,,Middleware,"Red Hat Hosted"
"Bay Area JBUG Kickoff",2014-02-03,2014-02-03,USA,California,"Mountain View",,"NORTH AMERICA",West,,,http://www.meetup.com/BayAreaJBug/,,,,Middleware,"Red Hat Hosted"
"OpenStack xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",,,,,OpenStack,"User Groups"
"Veltigroup Tech Lan Day",2014-02-04,2014-02-04,Switzerland,,Lausanne,"French Swiss",EMEA,D-A-CH,,,http://www.veltigroup.com/site/en/news-events/item/veltigroup/feed/ictevent-expertday14-join-us-on-the-4th-of-february-2014/,,,,"Channel,Storage,Platform,Middleware,Cloud,OpenStack,Openshift,Virtualization","Red Hat Partner Event"
"Intel/OpenStack Onramp Workshop",2014-02-04,2014-02-04,,,"Mountain View","Red Hat Office","NORTH AMERICA",West,,,https://engage.redhat.com/content/on-ramp-to-enterprise-919555121205/,,,,"Global Partner Marketing,OpenStack","Red Hat Partner Event"
"Cisco Data Center Conference - Americas",2014-02-04,2014-02-06,"Puerto Rico",,"San Juan",,LATAM,,,,,,,,"Global Partner Marketing","Red Hat Partner Event"
"How RH JBoss Fuse helps customers",2014-02-05,2014-02-05,,,,,,,,,,,,,"Cloud,Platform",Webinars
"Red Hat Open Day Partner Hosted for Inbursa",2014-02-05,2014-02-05,México,"Distrito Federal","Mexico City","Red Hat Office",LATAM,Mexico,,,http://app.engage.redhat.com/e/es?s=1795&e=316843&elq=8a56dfaa2eda4c74919fefda2be19d64,,,,Middleware,"Red Hat Partner Event"
"OpenStack xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",http://www.meetup.com/OpenStack-New-York-Meetup/,,,,OpenStack,"User Groups"
"CBSi/Platform - Title TBD",2014-02-05,2014-02-05,,,,,"NORTH AMERICA",,,,TBD,,,,"Field Marketing,Platform",Webinars
"HP World Tour México",2014-02-05,2014-02-05,México,"Distrito Federal","Mexico City","Centro Banamex",LATAM,Mexico,,,http://h41111.www4.hp.com/world-tour/mexico-city/overview.html#.UuaUiZbnahc,,,Silver,,"Customer Event"
"JBoss Integration Workshop",2014-02-05,2014-02-05,,,Chicago,,"NORTH AMERICA",West,,,https://meeting-reg.com/redhat/hands_on_workshop_chicago/,,,,Middleware,"Red Hat Partner Event"
"Red Hat Customer Convergence - Raleigh",2014-02-06,2014-02-06,,"North Carolina",Raleigh,"Sheraton Raleigh Downtown","NORTH AMERICA",West,,,https://engage.redhat.com/content/customer-convergence-event-s-919555121232,,,,GSS,"Customer Event"
"Intel/OpenStack Onramp Workshop",2014-02-06,2014-02-06,,,"San Diego","Marriott Mission Valley","NORTH AMERICA",West,,,https://engage.redhat.com/content/on-ramp-to-enterprise-919555121205/,,,,"Global Partner Marketing,OpenStack","Red Hat Partner Event"
"OpenStack xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",http://www.meetup.com/Philly-OpenStack-Meetup-Group/,,,,OpenStack,"User Groups"
"FY15 APAC Planning Session",2014-02-10,2014-02-14,Singapore,,Singapore,,APAC,ASEAN,,,,,,,,
"Dell xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",http://goo.gl/9kJXA9,https://mojo.redhat.com/docs/DOC-935828,,,"Global Partner Marketing","Red Hat Partner Event"
"How to Manage and scale you cloud without going broke",2014-02-11,2014-02-11,Webcast,,,,"NORTH AMERICA","Public Sector",,,http://events.carahsoft.com/event-detail/3113/redhat/,,,,"Public Sector,Channel","Red Hat Partner Event"
"How RH JBoss Fuse helps customers build simple, efficient, highly integrated applications",2014-02-11,2014-02-11,,,,,,,,,https://mojo.redhat.com/docs/DOC-934836,,,,Middleware,Webinars
"AFCEA West 2014",2014-02-11,2014-02-13,USA,California,,,"NORTH AMERICA","Public Sector",,,http://www.afcea.org/events/west/14/introduction.asp,,,,"Public Sector","Industry Event"
"Silicon Valley Virtualization and Cloud Meetup",2014-02-12,2014-02-12,USA,California,"Mountain View",,"NORTH AMERICA",West,,,http://www.meetup.com/redhatenterprisevirtualization/,,,,"Cloud,Virtualization","Red Hat Hosted"
"Avoid challenges that pc early adopters encountered",2014-02-12,2014-02-12,,,,,,,,,https://mojo.redhat.com/docs/DOC-934551,,,,,Webinars
"What's new in Developer Toolset",2014-02-12,2014-02-12,,,,,,,,,https://mojo.redhat.com/docs/DOC-933609,,,,,Webinars
"Red Hat Virtualization Meetup",2014-02-12,2014-02-12,USA,California,"Mountain View",,"NORTH AMERICA",West,,,http://www.meetup.com/redhatenterprisevirtualization/events/161769642/,,,,Virtualization,"Red Hat Hosted"
"Webinar xxx@redhat.com Day: +919555121206 Cell: +919555121219",http://app.engage.redhat.com/e/es?s=1795&e=311328&elq=1b0e04093bac4f4f9fb7b67ba545cae5,,,,Virtualization,Webinars
"SEP to the TOP Partner Summit 2014",2014-02-17,2014-02-18,Germany,,Tegernsee,"DAS TEGERNSEE, Neureuthstraße 23",EMEA,D-A-CH,,,http://www.sepsoftware.com/us/partnersummit/,,,,Channel,"Customer Event"
"Symantec Symposium 2014",2014-02-18,2014-02-18,Indonesia,,Jakarta,"Hotel Mulia Senayan",APAC,ASEAN,,,"http://symantecsym2014.event.co.id/index.html  ",,,Gold,,"Customer Event"
"PrivateCloud Workshop",2014-02-18,2014-02-18,,,D.C.,,"NORTH AMERICA",East,,,https://engage.redhat.com/content/private-cloud-workshop-s-919555121249,,,,"Cloud,Field Marketing","Red Hat Hosted"
"InXpo - Standardize your Operating Environment",2014-02-18,2014-02-18,,,,,"NORTH AMERICA",,,,TBD,,,,"Field Marketing,Platform",Webinars
"5 Key components to improve & maintence",2014-02-18,2014-02-18,,,,,,,,,https://mojo.redhat.com/docs/DOC-934779,,,,,Webinars
"Red Hat Partner Day (Indonesia)",2014-02-19,2014-02-19,Indonesia,,Jakarta,"Grand Hyatt Jakarta",APAC,ASEAN,,,,,,,,"Red Hat Partner Event"
"PrivateCloud Workshop",2014-02-19,2014-02-19,,,NYC,,"NORTH AMERICA",East,,,https://engage.redhat.com/content/private-cloud-workshop-s-919555121249,,,,"Cloud,Field Marketing","Red Hat Hosted"
"RH Developer Toolset 2.1 - Getting ready for RHEL 7",2014-02-19,2014-02-19,,,,,,,,,https://mojo.redhat.com/docs/DOC-935066,,,,,Webinars
"Manage and Scale with Red Hat OpenShift and MongoDB",2014-02-20,2014-02-20,USA,,,Webcast,"NORTH AMERICA","Public Sector",,,http://events.carahsoft.com/event-detail/3133/redhat/,,,,"Public Sector,Channel",Webinars
"Spiceworks/Platform - Title TBD",2014-02-20,2014-02-20,,,,,"NORTH AMERICA",,,,TBD,,,,"Field Marketing,Platform",Webinars
"JBoss Business Day by Codcentric",2014-02-20,2014-02-20,Germany,,München,"codecentric AG,  Elsenheimer Straße 55a",EMEA,D-A-CH,,,http://redhat-events.com/jboss/codecentric/,,,,"Channel,Middleware","Red Hat Partner Event"
"Cisco Data Center Conference - EMEA",2014-02-20,2014-02-20,Spain,,Barcelona,,EMEA,,,,,,,,"Global Partner Marketing","Red Hat Partner Event"
"Webcast: RHEL U2L Migration",2014-02-20,2014-02-20,Germany,,,online,EMEA,D-A-CH,,,http://business-services.heise.de/it-management/infrastruktur-management/beitrag/keine-angst-vor-migrationsprojekten-2228.html?source=redhat,,,,Platform,Webinars
"Service governance in action",2014-02-20,2014-02-20,,,,,,,,,,,,,Middleware,Webinars
"Mobile World Congress 2014",2014-02-24,2014-02-27,Spain,,Barcelona,"Fira Gran Via , Barcelona",EMEA,"Iberia ",,,http://www.mobileworldcongress.com/,,,,,"Industry Event"
"PaaS on Openstack: Launch apps w/ velocity and stability",2014-02-25,2014-02-25,,,,,,,,,https://mojo.redhat.com/docs/DOC-931232,,,,,Webinars
"New Horizons ",2014-02-25,2014-02-26,USA,Massachusetts,Newton,"Marriott Hotel","NORTH AMERICA","Public Sector",,,http://afceaboston.com/#,,,,"Public Sector","Industry Event"
"Center for Digital Government Webcast - Cloud",2014-02-26,2014-02-26,USA,,,Webcast,,,,,http://event.on24.com/eventRegistration/eventRegistrationServlet?eventid=752368&sessionid=1&key=8A20DD0DA390097F6E0F63316E2BF296&elq=4f9534f5584049d383c962a0de3b09e7&elqCampaignId=&referrer=,,,,,Webinars
"Migrating to JBoss iBPM Suite",2014-02-26,2014-02-26,,,,,,,,,,,,,Middleware,Webinars
"OpenStack Roundtable",2014-02-26,2014-02-26,USA,"New York","New York","The W New York","NORTH AMERICA",East,,,,,,,OpenStack,"Customer Event"
"Business Evening - Migrate to Linux, by Linuxland",2014-02-27,2014-02-27,Germany,,,,EMEA,D-A-CH,,,http://redhat-events.com/jboss/codecentric/,,,,"Channel,Middleware","Red Hat Partner Event"
"IDC xxx@redhat.com Day: +919555121206 Cell: +919555121219",http://app.engage.redhat.com/e/es?s=1795&e=314135&elq=31adb7aec7994d4aa03adf07489fc1e6,,,,Platform,Webinars
"Cloud Advisory Board New York",2014-02-27,2014-02-27,USA,"New York","New York","The W New York","NORTH AMERICA",East,,,,,,,"Cloud,Openshift,OpenStack","Customer Event"
"The New Virt Storage Console for RHEV Webinar",2014-02-28,2014-02-28,,,,,,,,,https://mojo.redhat.com/docs/DOC-938754,,,,,Webinars
"PrivateCloud Workshop",2014-03-04,2014-03-04,Canada,,Toronto,,"NORTH AMERICA",Canada,,,https://engage.redhat.com/content/private-cloud-workshop-s-919555121249,,,,"Cloud,Field Marketing","Red Hat Hosted"
"NRO IT Winter Way Forward Conferencce",2014-03-04,2014-03-04,usa,,Chantilly,NRO,,,,,http://www.ncsi.com/nrowwf/2014/index.php,,,,"Public Sector","Industry Event"
"TAM webinar",2014-03-04,2014-03-04,,,,,"NORTH AMERICA",,,,https://mojo.redhat.com/docs/DOC-938528,,,,,Webinars
"Atlanta Red Hat User Group",2014-03-05,2014-03-05,,,,,"NORTH AMERICA",East,,,http://www.meetup.com/Atlanta-Red-Hat-User-Group/,,,,,"User Groups"
"SAP Forum México 2014",2014-03-05,2014-03-06,México,"Distrito Federal","Mexico City","Centro Banamex",LATAM,Mexico,,,http://global.sap.com/mexico/events/2014-forum-mexico/index.epx,,,,Platform,"Customer Event"
"Red Hat Tech Lab mit Hamburger User Group",2014-03-06,2014-03-06,Germany,,Hamburg,,EMEA,D-A-CH,,,,,,,Platform,"Open Source Community"
"Avnet Partner Kick-off, West-Schweiz",2014-03-06,2014-03-06,Switzerland,,,,EMEA,D-A-CH,,,,,,,,"Red Hat Partner Event"
"Public Sector Partner & SI Training",2014-03-10,2014-03-10,USA,,"Washington, DC","Verizon Center",,,,,http://events.carahsoft.com/event-detail/3112/cs2/register/,,,,"Public Sector","Red Hat Partner Event"
"Gartner Enterprise Application & Architecture Summit (Tokyo) 2014",2014-03-10,2014-03-11,Japan,,Tokyo,,APAC,Japan,,,http://www.gartner.com/technology/summits/apac/enterprise-application-japan/,,,,,"Industry Event"
"CeBIT 2014 with Akquinet",2014-03-10,2014-03-14,Germany,,Hannover,Messegelände,EMEA,D-A-CH,,,www.cebit.de/‎,,,,"Middleware,OpenStack","Industry Event"
"FY15 APAC Sales Kickoff",2014-03-10,2014-03-14,"Hong Kong",,,,APAC,"Greater China",,,,,,,,
"CeBIT 2014 with SEP",2014-03-10,2014-03-14,Germany,,Hannover,"Messegelände, Halle 2, Stand B44",EMEA,D-A-CH,,,www.cebit.de/‎,,,,Storage,"Industry Event"
"Partner Kick-off by Red Hat, CH",2014-03-11,2014-03-11,Switzerland,,,,EMEA,D-A-CH,,,,,,,,"Red Hat Hosted"
"St. Paul Red Hat User Group Meeting ",2014-03-12,2014-03-12,USA,Minnesota,"St. Paul","Happy Gnome",,,,,https://engage.redhat.com/content/rh-user-group-e-919555121243,,,,,"User Groups"
"OpenShift Meetup - Raleigh, NC",2014-03-12,2014-03-12,USA,"North Carolina",Raleigh,"Red Hat Tower","NORTH AMERICA",East,,,http://www.meetup.com/Raleigh-Openshift-Meetup/events/164872262/,,,,Openshift,"User Groups"
"Peak Inside JBoss BPM Suite: A leading open source BPM platform",2014-03-12,2014-03-12,,,,,"NORTH AMERICA",,,,https://mojo.redhat.com/docs/DOC-938530,,,,,Webinars
"Intel/OpenStack Onramp Workshop",2014-03-12,2014-03-12,,,Atlanta,,"NORTH AMERICA",East,,,https://engage.redhat.com/content/on-ramp-to-enterprise-919555121205/,,,,"Global Partner Marketing,OpenStack","Red Hat Partner Event"
"FI-TS Management Forum 2014",2014-03-13,2014-03-13,Germany,,München,"BMW Welt",EMEA,D-A-CH,,,http://www.f-i-ts.de/management-forum/home/,,,,,"C-level Event"
"Webcast: Red Hat JBoss Launch",2014-03-13,2014-03-13,Germany,,online,,EMEA,D-A-CH,,,,,,,Middleware,Webinars
"Managing your virtualized datacenter with Red Hat and NetApp for RHEL 7",2014-03-13,2014-03-13,,,,,"NORTH AMERICA",,,,https://mojo.redhat.com/docs/DOC-938754,,,,,Webinars
